Date;Price
06/01/2025;77149
03/01/2025;76813
02/01/2025;76849
01/01/2025;76214
31/12/2024;76232
30/12/2024;75517
27/12/2024;75783
26/12/2024;76114
24/12/2024;75562
23/12/2024;75506
20/12/2024;75786
19/12/2024;75191
18/12/2024;76115
17/12/2024;76314
16/12/2024;76486
13/12/2024;76592
12/12/2024;77400
11/12/2024;78287
10/12/2024;77745
09/12/2024;76999
06/12/2024;76185
05/12/2024;76353
04/12/2024;76036
03/12/2024;75934
02/12/2024;75815
29/11/2024;76485
28/11/2024;75761
27/11/2024;75788
26/11/2024;75293
25/11/2024;75377
22/11/2024;77579
21/11/2024;76689
20/11/2024;76008
19/11/2024;75555
18/11/2024;75039
15/11/2024;73965
14/11/2024;74151
13/11/2024;74514
12/11/2024;74918
11/11/2024;75382
08/11/2024;77248
07/11/2024;77386
06/11/2024;76689
05/11/2024;78490
04/11/2024;78401
01/11/2024;78829
31/10/2024;78326
30/10/2024;79257
29/10/2024;78865
28/10/2024;78159
25/10/2024;78009
24/10/2024;77872
23/10/2024;77482
22/10/2024;78241
21/10/2024;77508
18/10/2024;77159
17/10/2024;76540
16/10/2024;76163
15/10/2024;75838
14/10/2024;75553
11/10/2024;75738
10/10/2024;74834
09/10/2024;74512
08/10/2024;74799
07/10/2024;75657
04/10/2024;75759
03/10/2024;75827
01/10/2024;75660
30/09/2024;74844
27/09/2024;74878
26/09/2024;75339
25/09/2024;75167
24/09/2024;74886
23/09/2024;74183
20/09/2024;73977
19/09/2024;73357
18/09/2024;73029
17/09/2024;73022
16/09/2024;73422
13/09/2024;73367
12/09/2024;72681
11/09/2024;71878
10/09/2024;71821
09/09/2024;71573
06/09/2024;71409
05/09/2024;71890
04/09/2024;71053
03/09/2024;70807
02/09/2024;71233
30/08/2024;71195
29/08/2024;71666
28/08/2024;71328
27/08/2024;71551
26/08/2024;71500
23/08/2024;71295
22/08/2024;70796
21/08/2024;71407
20/08/2024;71340
19/08/2024;71138
16/08/2024;70938
14/08/2024;69874
13/08/2024;70356
12/08/2024;70354
09/08/2024;69604
08/08/2024;69396
07/08/2024;68752
06/08/2024;68742
05/08/2024;68641
02/08/2024;69381
01/08/2024;69412
31/07/2024;69083
30/07/2024;68617
29/07/2024;68206
26/07/2024;68173
25/07/2024;67491
24/07/2024;69028
23/07/2024;68648
22/07/2024;72641
19/07/2024;72872
18/07/2024;73965
17/07/2024;73924
16/07/2024;74025
15/07/2024;73311
12/07/2024;73159
11/07/2024;73205
10/07/2024;72629
09/07/2024;72385
08/07/2024;72332
05/07/2024;73255
04/07/2024;72151
03/07/2024;72160
02/07/2024;71357
01/07/2024;71329
28/06/2024;71275
27/06/2024;71303
26/06/2024;70919
25/06/2024;71201
24/06/2024;71512
21/06/2024;71429
20/06/2024;72258
19/06/2024;71519
18/06/2024;71503
17/06/2024;71285
14/06/2024;71691
13/06/2024;71030
12/06/2024;71796
11/06/2024;71346
10/06/2024;71303
07/06/2024;71308
06/06/2024;72963
05/06/2024;72485
04/06/2024;71782
03/06/2024;71818
31/05/2024;71703
30/05/2024;71852
29/05/2024;71993
28/05/2024;72145
27/05/2024;72001
24/05/2024;71380
23/05/2024;71632
22/05/2024;73027
21/05/2024;73970
20/05/2024;74283
17/05/2024;73593
16/05/2024;72896
15/05/2024;73001
14/05/2024;72213
13/05/2024;71819
10/05/2024;72595
09/05/2024;71586
08/05/2024;71129
07/05/2024;71136
06/05/2024;71321
03/05/2024;70998
02/05/2024;71119
01/05/2024;71274
30/04/2024;70969
29/04/2024;72250
26/04/2024;72107
25/04/2024;71725
24/04/2024;71692
23/04/2024;71590
22/04/2024;71936
19/04/2024;73246
18/04/2024;73016
17/04/2024;72695
16/04/2024;73109
15/04/2024;72329
12/04/2024;71857
11/04/2024;71514
10/04/2024;71127
09/04/2024;71130
08/04/2024;70607
05/04/2024;70701
04/04/2024;69612
03/04/2024;69725
02/04/2024;68802
01/04/2024;68263
28/03/2024;67592
27/03/2024;66295
26/03/2024;66027
25/03/2024;65862
22/03/2024;65686
21/03/2024;65939
20/03/2024;65556
19/03/2024;65431
18/03/2024;65429
15/03/2024;65367
14/03/2024;65435
13/03/2024;65717
12/03/2024;65334
11/03/2024;65872
08/03/2024;65847
07/03/2024;65246
06/03/2024;65042
05/03/2024;64193
04/03/2024;63605
01/03/2024;63135
29/02/2024;62293
28/02/2024;61792
27/02/2024;61839
26/02/2024;61766
23/02/2024;61910
22/02/2024;61661
21/02/2024;61744
20/02/2024;61810
19/02/2024;61641
16/02/2024;61498
15/02/2024;61306
14/02/2024;61170
13/02/2024;61267
12/02/2024;61856
09/02/2024;62105
08/02/2024;62219
07/02/2024;62305
06/02/2024;62322
05/02/2024;62542
02/02/2024;62639
01/02/2024;63079
31/01/2024;62865
30/01/2024;62371
29/01/2024;62234
25/01/2024;62036
24/01/2024;62072
23/01/2024;62003
22/01/2024;61888
19/01/2024;62021
18/01/2024;61791
17/01/2024;61561
16/01/2024;62065
15/01/2024;62567
12/01/2024;62372
11/01/2024;61830
10/01/2024;62047
09/01/2024;62211
08/01/2024;62140
05/01/2024;62627
04/01/2024;62444
03/01/2024;62294
02/01/2024;63039
01/01/2024;63001
29/12/2023;62954
28/12/2023;63119
27/12/2023;63292
26/12/2023;62722
22/12/2023;62657
21/12/2023;62257
20/12/2023;62151
19/12/2023;62211
18/12/2023;62057
15/12/2023;61991
14/12/2023;62229
13/12/2023;60992
12/12/2023;60984
11/12/2023;60986
08/12/2023;61597
07/12/2023;62290
06/12/2023;62269
05/12/2023;62600
04/12/2023;62302
01/12/2023;62876
30/11/2023;62639
29/11/2023;62470
28/11/2023;62409
27/11/2023;61557
24/11/2023;61352
23/11/2023;61093
22/11/2023;61065
21/11/2023;61212
20/11/2023;60657
17/11/2023;60678
16/11/2023;60654
15/11/2023;60120
14/11/2023;60083
13/11/2023;59844
12/11/2023;59785
10/11/2023;59697
09/11/2023;60271
08/11/2023;60043
07/11/2023;60365
06/11/2023;60818
03/11/2023;60829
02/11/2023;60805
01/11/2023;60757
31/10/2023;60879
30/10/2023;61077
27/10/2023;60952
26/10/2023;60735
25/10/2023;60652
24/10/2023;60351
23/10/2023;60402
20/10/2023;60405
19/10/2023;59935
18/10/2023;59680
17/10/2023;58922
16/10/2023;58993
13/10/2023;58993
12/10/2023;57613
11/10/2023;57636
10/10/2023;57364
09/10/2023;57268
06/10/2023;56582
05/10/2023;56112
04/10/2023;56229
03/10/2023;56385
29/09/2023;57061
28/09/2023;57146
27/09/2023;57759
26/09/2023;58478
25/09/2023;58707
22/09/2023;58896
21/09/2023;58853
20/09/2023;59363
19/09/2023;59265
18/09/2023;59212
15/09/2023;58992
14/09/2023;58608
13/09/2023;58610
12/09/2023;58642
11/09/2023;58941
08/09/2023;58905
07/09/2023;59016
06/09/2023;59111
05/09/2023;59301
04/09/2023;59385
01/09/2023;59106
31/08/2023;59113
30/08/2023;59117
29/08/2023;58843
28/08/2023;58497
25/08/2023;58273
24/08/2023;58436
23/08/2023;58430
22/08/2023;58221
21/08/2023;58164
